,볼로네즈_1,볼로네즈_2,볼로네즈_3,볼로네즈_4,볼로네즈_5,볼로네즈_6,볼로네즈_7,볼로네즈_8,볼로네즈_9,볼로네즈_10,볼로네즈_11,볼로네즈_12,볼로네즈_13,볼로네즈_14,볼로네즈_15,볼로네즈_16,볼로네즈_17,볼로네즈_18,볼로네즈_19,볼로네즈_20
Person,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,72.68274688720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crowd,0.0,67.62139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog,0.0,67.1588363647461,98.73828887939453,87.42180633544922,92.06685638427734,94.2564926147461,98.778076171875,56.58433151245117,94.59591674804688,93.19769287109375,87.94303894042969,90.97887420654297,89.06966400146484,85.1034164428711,93.21815490722656,0.0,97.39784240722656,94.2549057006836,56.831504821777344,0.0
Boston Bull,0.0,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,67.1588363647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,59.76441192626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,98.73828887939453,79.00281524658203,80.16809844970703,90.36459350585938,91.10231018066406,0.0,0.0,93.19769287109375,80.48423767089844,66.40281677246094,63.12903594970703,85.1034164428711,58.62490463256836,0.0,97.39784240722656,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,83.93025970458984,0.0,0.0,0.0,61.106422424316406,0.0,68.53529357910156,0.0,65.55702209472656,0.0,0.0,0.0,0.0,0.0,91.30615234375,0.0,0.0
Winter,0.0,0.0,0.0,83.93025970458984,0.0,0.0,0.0,61.106422424316406,0.0,68.53529357910156,0.0,65.55702209472656,0.0,0.0,0.0,0.0,0.0,91.30615234375,0.0,0.0
Nature,0.0,0.0,0.0,83.93025970458984,0.0,0.0,0.0,61.106422424316406,0.0,68.53529357910156,0.0,65.55702209472656,0.0,0.0,0.0,0.0,0.0,91.30615234375,0.0,0.0
Snowman,0.0,0.0,0.0,83.93025970458984,0.0,0.0,0.0,61.106422424316406,0.0,68.53529357910156,0.0,65.55702209472656,0.0,0.0,0.0,0.0,0.0,91.30615234375,0.0,0.0
Snow,0.0,0.0,0.0,83.93025970458984,0.0,0.0,0.0,61.106422424316406,0.0,68.53529357910156,0.0,65.55702209472656,0.0,0.0,0.0,0.0,0.0,91.30615234375,0.0,0.0
Toy,0.0,0.0,0.0,60.73480224609375,0.0,56.516563415527344,0.0,89.83171844482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89447021484375,0.0
Poodle,0.0,0.0,0.0,0.0,80.42200469970703,0.0,0.0,0.0,0.0,78.93016052246094,75.16828155517578,83.58496856689453,79.7378158569336,70.7850570678711,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,62.949100494384766,63.43240737915039,67.90373992919922,0.0,85.70431518554688,78.40074920654297,60.835487365722656,82.71397399902344,65.1312255859375,60.25790786743164,57.595977783203125,0.0,93.51537322998047,80.59589385986328,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,72.29054260253906,90.81658172607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,72.29054260253906,90.81658172607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plush,0.0,0.0,0.0,0.0,0.0,56.516563415527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51292419433594,0.0
Eskimo Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55814361572266,0.0,0.0,0.0,0.0,0.0,58.89276885986328,0.0,0.0,86.51068878173828,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.762474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7378921508789,97.06909942626953,0.0,0.0,0.0,0.0,0.0,0.0,66.29585266113281,95.80817413330078
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.06909942626953,0.0,0.0,0.0,0.0,0.0,0.0,66.29585266113281,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.46192169189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.971214294433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69477844238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.37452697753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.224632263183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6935043334961,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.36302185058594,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.10331726074219,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92634963989258,0.0,0.0,0.0,0.0,0.0,0.0
Building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92634963989258,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.413368225097656,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.117984771728516,0.0,0.0,0.0,0.0,0.0,0.0
Angora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.117984771728516,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.87318420410156,0.0,0.0,0.0,0.0,0.0
Dish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96515655517578,0.0,0.0,0.0,96.5536117553711
Meal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.96515655517578,0.0,0.0,0.0,96.5536117553711
Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.497039794921875,0.0,0.0,0.0,0.0
Dinner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.125030517578125,0.0,0.0,0.0,91.09788513183594
Supper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.125030517578125,0.0,0.0,0.0,91.09788513183594
Tennis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.238525390625,0.0
Tennis Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.238525390625,0.0
Sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.238525390625,0.0
Ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.238525390625,0.0
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.238525390625,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.831504821777344,0.0
Bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.80426025390625
Vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3707275390625
Carrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3707275390625
Cutlery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7022705078125
Platter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.24523162841797
